text|date
#normanthegreattherescuecat and #babyruththerescuecat being cute cuddle cats. 🐈🐈 #rescuecatsofinstagram #catsofinstagram #cats #adoptdontshop #quarantinelife #quarantine #wearamask @ Houston, Texas https://t.co/C4YijrBnds|2021-01-08 23:56:58
"@BloggersHut #Quarantine got you struggling with #exercising? Need that extra boost this year? I got you. Try Lilly Sabri, with #million-plus subscribers she'll brighten your day!

Still unsure? Read this #review 

https://t.co/yoFmHrPmFr"|2021-01-08 23:56:13
"[]

Q is for Queen of the #Quarantine

-

#Story written by Crystal @byers_byers | #Educator &amp; #Writer

https://t.co/7EWsQ7bJJZ"|2021-01-08 23:55:30
"My last 48 hours in a nutshell... picture style! 
🦽🏥🧑🏻‍⚕️👨‍⚕️💉⏱

Oh! How fun life is! #neveradullmoment #48hours #life #kids #er #hospital #quarantine #covid #tetanusreaction #rare #schoolsclosed #2021 #singlemother https://t.co/Asr6yZOk31"|2021-01-08 23:53:44
"@theclique_uk #Quarantine got you struggling with #exercising? Need that extra boost this year? I got you. Try Lilly Sabri, with #million-plus subscribers she'll brighten your day!

Still unsure? Read this #review 👇

https://t.co/yoFmHrPmFr"|2021-01-08 23:50:05
"@thenortherndad #Quarantine got you struggling with #exercising? Need that extra boost this year? I got you. Try Lilly Sabri, with #million-plus subscribers she'll brighten your day!

Still unsure? Read this #review 👇

https://t.co/yoFmHrPmFr"|2021-01-08 23:49:39
@CWATSONHARRIS @DeKalbSchools @DacostaDekalb OMG, 400+ teachers and staff! #covid #quarantine #educators #coronavirua #atlanta #georgia https://t.co/C6EjnnNUXy|2021-01-08 23:49:15
A family-of-four in #NSW hotel #quarantine have tested positive to the worrying South African #mutation of #COVID19. Like the UK strain, which is believed to be up to 70% more transmissible than earlier version of the virus, the South African strain is pa…https://t.co/ym2AImEHpZ|2021-01-08 23:37:09
#FirstTweet and it's @britneyspears &amp; @KeshaRose with #tilltheworldends #mashup #remix #YouTube a song to remember these days! #Quarantine https://t.co/TCgCQVRhKW|2021-01-08 23:33:17
We get dressed up with nowhere to go 🌷 #quarantine https://t.co/9rzutFPGi1|2021-01-08 23:31:50
@DanielAndrewsMP #COVID19 #Quarantine working well✔ https://t.co/qrOmmevaQQ|2021-01-08 23:31:17
"#T.G.I.F. - The weekend is here!  It’s Friday… Time to be a hero and rescue some wine trapped in a bottle. - https://t.co/pEI5D8uFTn
.
.
#tgif #friday #weekend #friyay #fridayvibes #weekendvibes #happyfriday #fridaymood #happy #fridaynight #stayhome #quarantine https://t.co/wkPEEXRlCP"|2021-01-08 23:30:04
A new learning book for  your children 8 to 12, to teach them about a new discovery! Buy today at Amazon! https://t.co/ENrKl9M8FN #newbook #birthdaygift #tween #giftideas #birthdaygirl #birthdaygiftideas #giftsforkids #librarian #quarantine #interesting #homeschooling #homeschool https://t.co/iIp8roVGHG|2021-01-08 23:30:00
"There appears to be something in my eye.  I am so very proud of this kid. 

My nephew, still at Uni &amp; working in the front line as an Emergency Nurse during the biggest pandemic of a generation. 

#coronavirus #covid #corona #NHS #stayhome #quarantine #lockdown https://t.co/Sb4Y2co8zv"|2021-01-08 23:07:57
📷 New @actionblaxxs #quarantine available now on all streaming platforms @the_celebrity_studio @celebritychefspices @visualsbybobby https://t.co/R37KKE0w4o https://t.co/03Ku2fzWcj|2021-01-08 23:05:26
"New @actionblaxxs #quarantine available now on all streaming platforms

@the_celebrity_studio @celebritychefspices @visualsbybobby https://t.co/3QpPa7QIJn"|2021-01-08 23:05:23
"Its simply sad. COVID-19 transmission is fueled by poverty and economic necessity. 

Its a luxury to #stayhome and #workfromhome. 

Its a luxury to #quarantine at home when you have space. 

#immigrants #Latinx @IllinoisUnidos @DraCoquiMD 

https://t.co/TmgGabjzFT"|2021-01-08 23:04:28
"Can you kick it?
Yes, you can. NO, wait. You can't.

In for it's title, being one of my faves, and live:
https://t.co/7RoPWsDyOw

#HipHop #ClassicHipHop #ExtendedRules #DaList #Playlists #CovidPlaylist #QuarantinePlaylist #Music #GoodTunes #Playlist #QuarantineLife #Quarantine https://t.co/BZgPFkCDCI"|2021-01-08 22:59:15
@EVERALDATLARGE Totally and absolutely agree Everald, #quarantine, is a Federal Government responsibility, under Section 51 (ix) of The Australian Constitution|2021-01-08 22:49:10
"Friday night #lockdown in #london 
@londonist_com @london 
📍Central London

🇬🇧 😷 🇬🇧 

.
.
.

#quarantine #covid #stayhome #quarantinelife #love #lockdown #coronavirus #staysafe #corona  #photography #art #socialdistancing #follow #memes #like #stayathome https://t.co/ZPSOhcU4jH"|2021-01-08 22:42:51
Well looks like ill be quarantine for the next 2 weeks great. #Covid_19 #Quarantine|2021-01-08 22:41:21
"If there was a Ph.D program in Peppa Pig studies I wouldn't even need to take courses to pass...😑 #quarantine #toddlermom @Momademia dissertation topic: ""energetic cost of repeated jumping in semi-transparent bodies of water"""|2021-01-08 22:40:03
"""Bachy ni dekhty"" - Oil on Canvas
48 x 48 inches
CHOOSE WISELY, children often follow their parents foot steps. One wrong step and you child is out of your hands.
#oiloncanvas #oilpaintings #oilpaint #instaartsy #quarantine #isolationart #lockdown2020 #covidart #figurepainting https://t.co/QxdvzQ0q7r"|2021-01-08 22:38:15
Educate yourselves. What is Quarantine? #education #Quarantine #COVID19 #Poland #viral #share #RETWEEET https://t.co/8ASFjgzLxN|2021-01-08 22:37:18
Tonight in #quarantine cooking: Is it Spaghetti and Meatballs or Meatballs and Spaghetti? Either way we ate way too much of it. https://t.co/xgZXmJdGP7|2021-01-08 22:36:53
"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/jw6wmOOwFG https://t.co/FkX0mybRVo"|2021-01-08 22:26:04
"Stay Safe Everyone🖤

#STAYSAFE   #StayHome    #StaySafeAtHome   #MaskUp 

#TakeCareOfYourselves   #COVID19   #Corona   #CoronavirusArt   

#Quarantine   #QuarantineArt    #LifeGoesOn   #StayHealthy 

#DontBeSick    #STAYSTRONG https://t.co/g9VWaooEhA"|2021-01-08 22:25:24
Guess who's got nothing planned on this fine COVID Friday? #Quokka #Quarantine #FridayFeeling #SocialDistance|2021-01-08 22:25:17
"""If the glove doesn't fit , you must acquit"".  Lol. Jk.  Winter season gloves.  #truestory   #gloves  #coronavirus   #quarantine   ( Friday  , January 8 , 2021 ) https://t.co/b6QetG09wk"|2021-01-08 22:23:00
@PAX_news @ACTACanada We need standard #Rapidtesting and #ContactTracing protocols at @canadasairports with a reduced #Quarantine now to save our #Canadian #Travel #Industry!  #science over #Politics #cdnpoli @NACC_CNLA @ACTACanada|2021-01-08 22:19:19
https://t.co/nAC6TJNsJh #pax #travel We need standard #Rapidtesting and #ContactTracing protocols at @canadasairports with a reduced #Quarantine now to save our #Canadian #Travel #Industry!  #science over #Politics #cdnpoli @NACC_CNLA @ACTACanada|2021-01-08 22:17:16
Chest freezers? We got 'em! #Quarantine https://t.co/ju5B6bIc0Z|2021-01-08 22:14:56
Blaze on #SoundCloud https://t.co/m9hpL53mFH #f4f #follo4follo #follow4follow #followtrain #followback #GAINSZN #folloforfollo #follobackforfolloback #follow #music #rap #trap #blaze #wavey #wave #DRIPPIN #Quarantine #fire #blazereal #pradafreestyle #ttblaze #intro #outro|2021-01-08 22:13:43
#HappyFriday🖤we love to do bathrooms #bathroom #remodel #mirror #floating #vanity #madeinspain #drawer #free #quotes #bathroomdesign #blessed #lovewhatyoudo #sink #bathroomrenovation #storage #getorganized #Investment #realestate #mask #up #staysafe #quarantine #socialdistancing https://t.co/bHfLqbGbtp|2021-01-08 22:13:15
"A boy speaks, a gentleman acts🎩

#happyweekend #weekendvibes #photoshoot #portrait #portraitphotography #photooftheday #friday #fashion #design #style #la #dtla #silverlake #smile #lucky #daddy #SFGiants #cool #panama #goodvibes #creative #quarantine #gentleman #creativedirector https://t.co/HtEsHWd2VD"|2021-01-08 22:11:40
Stuck at Home? How about a #Puzzle!! Mercari! Napoleon Crossing the Alps Jigsaw Puzzle https://t.co/6xmZq6O17O #Mercari #Christmas #Jigsaw #Puzzle #games #Napoleon #history #home #shelterinplace #quarantine #california #newyork|2021-01-08 22:11:28
"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety#onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/1ieM6doyNR"|2021-01-08 22:10:05
do you understand the stressors that weaken your dieting willpower? - failing at our dieting attempts can hold valuable lessons - find Self Improvement info at https://t.co/bCbpRTb3Xs #Quarantine https://t.co/m6m2UBJRbv https://t.co/JnV56vpNJy|2021-01-08 22:09:05
Upright Freezers for your #quarantine supplies! https://t.co/Gr96pB5nVN|2021-01-08 22:08:22
"The ramifications of the Covid-19 pandemic don't look like slowing down in the #nba anytime soon 😪🏀

#wholenewgame #ballislife #philadelphia76ers #sethcurry #covid19 #stopthespread #protocol #quarantine https://t.co/UMigLKxyBO"|2021-01-08 22:08:19
https://t.co/BH2JxAQndn supp my friend #twitch #music #livestreaming #livemusic #youtube #streaming #dj #stream #streamer #gaming #twitchstreamer #stayhome #gamer #twitchtv #covid #love #quarantine #twitchaffiliate|2021-01-08 22:03:55
#Checkout this #new #spiral #notebook #fineartamerica #love #instagram #covid #like #follow #fashion #art #coronavirus #newyear #o #a #life #happy #quarantine #k #happynewyear #stayhome #s #new #style #spring #summer #likeforlikes #corona #nature #bhfyp https://t.co/coxjLYVX8N|2021-01-08 22:00:09
"NFL Playoffs • With the matchups set, which underdog has the best chance to come up with an upset during Wild Card Weekend?

...
..
.
#podernfamily #entertainment #business #follow  #sports #media #podcastinglife #coronavirus #quarantine #news #googlepodcasts #nfl #nflplayoffs https://t.co/Ipo3nYQ2g7"|2021-01-08 21:58:01
"This week on https://t.co/NB4dbKd96V, they discuss the social commentary in the #netflix #horror original HIS HOUSE;  immigration, migration, nativism, and the role of case managers

https://t.co/LAg1DN87vM

#podcasting #podcast #quarantine #quarantinelife #Friday #FBF"|2021-01-08 21:56:10
"i miss the #memes of the beginning of 1st #lockdown/#homeschooling/#Quarantine
march 2020, I will never forget your memes :("|2021-01-08 21:47:41
"https://t.co/IjLmgBORcP

Torture Porn For Your Chest!!!
#stayhome #quarantine #fitness #covid19 #bodybuilding #instrumentals"|2021-01-08 21:42:29
"When quarantine is over, let’s not tell some people...
#Covid #Quarantine #ftw"|2021-01-08 21:34:51
📷 Link in the Bio for Full Eps.: https://t.co/113UTTprhi SUBSCRIBE, LIKE, SHARE, COMMENT #podcast #zmbsqd #zombieapocalypse @glennericnelson @deadonpictures #comics #quarantine #nvrdun #isolation #corona (at Washington D.C.)... https://t.co/FfMKHqwuIS|2021-01-08 21:21:32
"Link in the Bio for Full Eps.: 
https://t.co/113UTT7PSI
SUBSCRIBE, LIKE, SHARE, COMMENT 
#podcast
#zmbsqd 
#zombieapocalypse
@glennericnelson
@deadonpictures
#comics 
#quarantine 
#nvrdun
#isolation 
#corona https://t.co/GKw2iE9qQf"|2021-01-08 21:21:28
📹 Link in the Bio for Full Eps.: https://t.co/113UTTprhi SUBSCRIBE, LIKE, SHARE, COMMENT #podcast #zmbsqd #zombieapocalypse @glennericnelson @deadonpictures #comics #quarantine #nvrdun #isolation #corona (at Washington D.C.)... https://t.co/9YvLYCb2uu|2021-01-08 21:20:50
"Link in the Bio for Full Eps.: 
https://t.co/113UTTprhi
SUBSCRIBE, LIKE, SHARE, COMMENT 
#podcast
#zmbsqd 
#zombieapocalypse
@glennericnelson
@deadonpictures
#comics 
#quarantine 
#nvrdun
#isolation 
#corona https://t.co/u4rgrrix0a"|2021-01-08 21:20:48
"What was the last rule you broke and when was it? 

https://t.co/4KD4HfhL0q

#productivityhacks #businessgrowth #currentreads #quarantinereads #quarantine #selfquarantine #quarantineandchill #quarantined #selfisolate #socialhacks #workingfromhomehacks #dailyhacks #lifehacks https://t.co/MirKcjvybH"|2021-01-08 21:20:03
never give me anything...it won't go well... #letsplay #gamelife #fyp #mistakes #whoops #omg #spooky #monster #silly #gaming #edit #horrorgame #boss #quarantine #queen #wreck #weird #weirdgames #wtf #wrfmemes #editor #explore #edit #editing #resdentevil7 #resdentsofevil https://t.co/IAGHwtots5|2021-01-08 21:16:59
watching ‘Death to 2020’ on Netflix to celebrate completing the mandatory quarantine start to 2021!! ✅  ✅ #quarantine #mockumentary #netflix|2021-01-08 21:15:48
not my boyfriend cheating on me for a second time during #quarantine|2021-01-08 21:15:30
"Queensland quarantine hotel worker confirmed to have more infectious UK strain of COVID https://t.co/bE0N4QqBGn via @abcnews 

🇦🇺⚕️🏨

#Australia #Queensland #quarantine #pandemic #COVID #COVID19 #covidstrain #ViewFromAustralia"|2021-01-08 21:14:50
"Sending a hug to whoever needs one 🤗
#kindness #kindnessmatters #bekind #kindnessisfree #kindnessquotes #hug #kindnesscounts #kindnesswins #etsy #lockdown #kindnessiseverything #positivevibes #quotes #quarantine #spreadkindness #htlmp #kindnessalways https://t.co/yayoTJR1yu https://t.co/xRnqG7kBSG"|2021-01-08 21:12:58
Anyone else is just sick of living this couch life? 👀😭 I’m so done with #quarantine and feeling useless|2021-01-08 21:12:12
"#auspol 

What is being done to ensure there is no further #quarantine breach?

Are #HCWs maximally protected to ensure both their safety ➕the community? 

Because if 🦠infects workers in 🏨#agedcare and/or #healthcare it can get back into the community as we saw in Vic &amp; 🌏 https://t.co/j2MThUjd2f"|2021-01-08 21:11:44
"@dingos1946 This morning Professor on @abcnews ⤵️
#Australia #Quarantine controlled by @LiberalAus = weak. 
Government still NOT listening.
https://t.co/8t3NTGfby3 
#Auspol #COVID19Aus #covid19 @JohnQuiggin #COVID19nsw #COVID19Vic"|2021-01-08 21:09:45
"💎 A TREE IS PLANTED WITH EVERY ORDER $100+ 💎
💎BUY NOW @ https://t.co/CLU89n74oK 💎
💎#QUARANTINE - RED - Accessory Pouch @ $15.00 💎
💎https://t.co/laTNIkifgu  💎 https://t.co/qVRDpWvdRZ"|2021-01-08 21:03:01
@CP24 How is his 14-day #Quarantine going ?|2021-01-08 21:02:21
"Soren Dahl Jeppesen -  Insomnia 
 https://t.co/bCz2awiYFS #playlist 💓 *Calm”

Can we all agree we need some. 
#Quarantine 😷  #NowPlaying️"|2021-01-08 21:01:47
"The new variant 🦠 strains from 🇬🇧🇿🇦makes this ever more urgent

It’s important we get this right across ALL sectors in ALL states especially in 🏨#quarantine➕🏥#healthcare #agedcare regardless of whenever vaccine comes because the risk is always there. https://t.co/nWKPDpY56x"|2021-01-08 21:00:53
Mandatory #Covid19 #quarantine period after arrival to #Greece increased to seven days https://t.co/XVlBhUHDOA #naftemporiki #tourism #airtravel|2021-01-08 20:56:37
LETS GO BROS! https://t.co/FNbswfgiMr #twitch #streamer #girlswhogame #halloween #2020 #horror #games #horrorgames #survivalhorror #scared #jumpscares #outlast #gamergirl #girlswhostreamgames #bellavendome #2020 #quarantine|2021-01-08 20:55:27
"A crazy dream plays a big part in helping Molly from #AvocadoToastTheSeries unpack heavy and confusing emotions. According to @voxdotcom there’s a reason why our dr... #covid.
https://t.co/0YMMwq6ubJ
#dreams #quarantine #stress #anxiety #dreamlanguage #science #phsychology #sleep"|2021-01-08 20:52:46
A new learning book for  your children 8 to 12, to teach them about a new discovery! Buy today at Amazon! https://t.co/ENrKl9uxOf #newbook #birthdaygift #tween #giftideas #birthdaygirl #birthdaygiftideas #giftsforkids #librarian #quarantine #interesting #homeschooling #homeschool https://t.co/QOYth7L7Oa|2021-01-08 20:52:33
"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing #Quarantine
CDC recommends the use of cloth face coverings to supplement social distancing in fight against spread of  #covid19
https://t.co/U3PLC00eep https://t.co/aCVm0pku7T"|2021-01-08 20:52:05
"Professor on @BreakfastNews now is CONCERNED.
New #Covid19 is serious.. masks only just mandated.
#Quarantine is weak.. STOP flights from #UK 
Hard Borders have worked extremely well.
Tennis Cricket why? 
Bring Australians home. 
#Auspol @AustralianLabor step up&amp; speak please"|2021-01-08 20:47:45
