text|date
2021 and we're still out here being ✨essential ✨ #AgedCare #WearAMask #StayHome https://t.co/F2Tj1RVIQR|2021-01-07 23:58:01
#stayhome Zipper Jackets For Girls Clothes Classic Collar Coats Teen Windbreaker Clothing For Girls Leather Coat Children Overwear Clothes https://t.co/XvBbuj5V41 https://t.co/Wua0UAlKOl|2021-01-07 23:56:59
"I got the VID - 19 
STAY SAFE STAY HOME 
#COVID19ireland #THEVID #StayHome"|2021-01-07 23:56:31
"I leave home so seldom these days that I often forget that just walking out my front door could kill me.

On the other hand, it's extremely comforting knowing that there's pretty much no way that I've been exposed to COVID, so there's that. #StayHome"|2021-01-07 23:55:17
"Peace ✌🏻2021 
.
.
.
#live #life #love #happy #beingme #StayHome #staysafe #jenniferlinch https://t.co/UUuh2E95db"|2021-01-07 23:54:30
"Cases: 87,912,740 (+120,111) 
Deaths: 1,895,389 (+0) 
Recovered: 49,013,164 (+0) 
Active Cases: 38,899,576 (44.25%)
Completed Cases: 50,908,553 (57.91%)
Mortality Rate: 2.16% (No Change)
Case Fatality Rate: 3.72% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-07 23:53:02
"IN CASE YOU DON'T KNOW WHAT IS CORONAVIRUS MUTANT....
LEMME TELL U IN SIMPLE WORDS.....
"" IF CORONAVIRUS IS A PERSON HE WON A VERY RARE LOTTERY TICKET.""

#StayHome #COVID19 #COVID20 #UKlockdown 
Ig: @i_m_ron https://t.co/39GiN55wc0"|2021-01-07 23:52:47
"MB COVID chart update: 
208 new cases
7 day avg up from 148 to 151

Test volume back up in the range that was typical before the holiday drop. Large fraction (29%) from Northern, which tends to come in batches.

 #Covid19MB  #flattenthecurve #covidMB #StayHome https://t.co/wtaNzi1ty3"|2021-01-07 23:51:44
@TembaMliswa HEZVO📌Cde @TembaMliswa🙏🏿 God helps those who help themselves, go into @ParliamentZim and do your job of pushing govt✅Please tell people to #StayHome  #SafeDistancing #HandWashing #MaskUpZim  #COVID19 is real📌 #MaskUpZimbabwe              NO❌.                             Yes✅ https://t.co/AaSLVcgOwN|2021-01-07 23:50:10
U.S had the highest number of COVID-19 deaths in a single day. #Covid_19 #CoronavirusStrain #Stayhome #RVAadvocate https://t.co/qasXrBWv1M|2021-01-07 23:49:38
"I'm so glad I'm old enough not to go out and do stupid shit. 🤣
OMG Should have #StayHome"|2021-01-07 23:48:36
@aaronpaquette He was bouncing around this subject yesterday on FB. #Stayhome|2021-01-07 23:46:17
"All dressed up with no place to go... except maybe the living room... 

#stayhome #staysafe #stopthespread #quarantime https://t.co/b7QrbqdaKU"|2021-01-07 23:44:46
Here i am chilling out and staying in because i want to save and protect lives, my own and others and i am prepared to stay in alone now so i can enjoy a safer, happier future with everyone i love still in it! 💙🥰🏠xxx #stayathomeforheroes #StayHome #NHSblueheart https://t.co/6pc2rnrGX2|2021-01-07 23:43:21
@OlgaPetkos (2/2) The law still allows them to protest, just not in large crowded #gatherings. Also, this bylaw was not meant to be malicious, the purpose is to protect #publicsafety. #gillieslaw #COVID19 #StayHome #AntiMaskers https://t.co/HT88Ffnpgi|2021-01-07 23:42:06
"Cases: 87,792,629 (+0) 
Deaths: 1,895,389 (+1,969) 
Recovered: 49,013,164 (+3,228) 
Active Cases: 38,779,465 (44.17%)
Completed Cases: 50,908,553 (57.99%)
Mortality Rate: 2.16% (+0.01%)
Case Fatality Rate: 3.72% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-07 23:42:02
Hi mooties, I miss being here 😔 I hope everyone is staying safe ❤️✨ love you all so much 🥺 #ateez #에이티즈 #StayHome https://t.co/lm40YZZkpf|2021-01-07 23:41:25
"Cases: 87,912,740 (+120,111) 
Deaths: 1,893,420 (+0) 
Recovered: 49,009,936 (+0) 
Active Cases: 38,902,804 (44.25%)
Completed Cases: 50,903,356 (57.90%)
Mortality Rate: 2.15% (-0.01%)
Case Fatality Rate: 3.72% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-07 23:41:02
I.E #votegreen Green Party for the People, the Environment and for the Future!!!!!!!! #StayHome learn to create your own fancy meals/coffees. Dust off the board games and get through the old skool way! Like we did before internet. Socialise online yano 'cus we have the internet! https://t.co/IkxvBvxF0l|2021-01-07 23:39:54
"@SciencePharmer @PharmacistMama Kids will be ok...
#StayHome 
#MaskUp https://t.co/ceVOPOqYg2"|2021-01-07 23:39:38
